city,occupation,0
"St. George, UT",Computer and Mathematical,68.0
"St. George, UT",Personal Care and Service,216.0
"St. George, UT","Installation, Maintenance, and Repair",257.0
"St. George, UT",Construction and Extraction,426.0
"St. George, UT",Management,321.0
"St. George, UT",Business and Financial Operations,150.0
"St. George, UT",Production,258.0
"St. George, UT",Healthcare Practitioners and Technical,359.0
"St. George, UT","Education, Training, and Library",485.0
"St. George, UT",Transportation and Material Moving,364.0
"St. George, UT",Food Preparation and Serving Related,662.0
"St. George, UT",Sales and Related,659.0
"St. George, UT",Office and Administrative Support,938.0
"Redding, CA",Legal,27.0
"Redding, CA","Life, Physical, and Social Science",106.0
"Redding, CA","Arts, Design, Entertainment, Sports, and Media",40.0
"Redding, CA",Community and Social Service,140.0
"Redding, CA",Architecture and Engineering,88.0
"Redding, CA",Protective Service,146.0
"Redding, CA",Healthcare Support,220.0
"Redding, CA",Building and Grounds Cleaning and Maintenance,210.0
"Redding, CA",Computer and Mathematical,60.0
"Redding, CA",Personal Care and Service,259.0
"Redding, CA","Installation, Maintenance, and Repair",265.0
"Redding, CA",Construction and Extraction,248.0
"Redding, CA",Management,296.0
"Redding, CA",Business and Financial Operations,178.0
"Redding, CA",Production,191.0
"Redding, CA",Healthcare Practitioners and Technical,455.0
"Redding, CA","Education, Training, and Library",431.0
"Redding, CA",Transportation and Material Moving,341.0
"Redding, CA",Food Preparation and Serving Related,604.0
"Redding, CA",Sales and Related,709.0
"Redding, CA",Office and Administrative Support,1004.0
"Merced, CA",Legal,19.0
"Merced, CA","Life, Physical, and Social Science",72.0
"Merced, CA","Arts, Design, Entertainment, Sports, and Media",34.0
"Merced, CA",Community and Social Service,141.0
"Merced, CA",Architecture and Engineering,29.0
"Merced, CA",Protective Service,141.0
"Merced, CA",Healthcare Support,180.0
"Merced, CA",Building and Grounds Cleaning and Maintenance,194.0
"Merced, CA",Computer and Mathematical,68.0
"Merced, CA",Personal Care and Service,125.0
"Merced, CA","Installation, Maintenance, and Repair",237.0
"Merced, CA",Construction and Extraction,149.0
"Merced, CA",Management,265.0
"Merced, CA",Business and Financial Operations,187.0
"Merced, CA",Production,519.0
"Merced, CA",Healthcare Practitioners and Technical,283.0
"Merced, CA","Education, Training, and Library",840.0
"Merced, CA",Transportation and Material Moving,570.0
"Merced, CA",Food Preparation and Serving Related,574.0
"Merced, CA",Sales and Related,594.0
"Merced, CA",Office and Administrative Support,861.0
"Harrisonburg, VA",Legal,22.0
"Harrisonburg, VA","Life, Physical, and Social Science",36.0
"Harrisonburg, VA","Arts, Design, Entertainment, Sports, and Media",82.0
"Harrisonburg, VA",Community and Social Service,59.0
"Harrisonburg, VA",Architecture and Engineering,45.0
"Harrisonburg, VA",Protective Service,92.0
"Harrisonburg, VA",Healthcare Support,160.0
"Harrisonburg, VA",Building and Grounds Cleaning and Maintenance,265.0
"Harrisonburg, VA",Computer and Mathematical,100.0
"Harrisonburg, VA",Personal Care and Service,202.0
"Harrisonburg, VA","Installation, Maintenance, and Repair",314.0
"Harrisonburg, VA",Construction and Extraction,266.0
"Harrisonburg, VA",Management,170.0
"Harrisonburg, VA",Business and Financial Operations,198.0
"Harrisonburg, VA",Production,676.0
"Harrisonburg, VA",Healthcare Practitioners and Technical,302.0
"Harrisonburg, VA","Education, Training, and Library",428.0
"Harrisonburg, VA",Transportation and Material Moving,575.0
"Harrisonburg, VA",Food Preparation and Serving Related,626.0
"Harrisonburg, VA",Sales and Related,607.0
"Harrisonburg, VA",Office and Administrative Support,861.0
"Alexandria, LA",Legal,30.0
"Alexandria, LA","Life, Physical, and Social Science",46.0
"Alexandria, LA","Arts, Design, Entertainment, Sports, and Media",25.0
"Alexandria, LA",Community and Social Service,116.0
"Alexandria, LA",Architecture and Engineering,60.0
"Alexandria, LA",Protective Service,208.0
"Alexandria, LA",Healthcare Support,236.0
"Alexandria, LA",Building and Grounds Cleaning and Maintenance,202.0
"Alexandria, LA",Computer and Mathematical,35.0
"Alexandria, LA",Personal Care and Service,325.0
"Alexandria, LA","Installation, Maintenance, and Repair",270.0
"Alexandria, LA",Construction and Extraction,255.0
"Alexandria, LA",Management,245.0
"Alexandria, LA",Business and Financial Operations,200.0
"Alexandria, LA",Production,399.0
"Alexandria, LA",Healthcare Practitioners and Technical,596.0
"Alexandria, LA","Education, Training, and Library",358.0
"Alexandria, LA",Transportation and Material Moving,368.0
"Alexandria, LA",Food Preparation and Serving Related,499.0
"Alexandria, LA",Sales and Related,723.0
"Alexandria, LA",Office and Administrative Support,891.0
"Niles-Benton Harbor, MI",Legal,25.0
"Niles-Benton Harbor, MI","Life, Physical, and Social Science",19.0
"Niles-Benton Harbor, MI","Arts, Design, Entertainment, Sports, and Media",73.0
"Niles-Benton Harbor, MI",Community and Social Service,77.0
"Niles-Benton Harbor, MI",Architecture and Engineering,247.0
"Niles-Benton Harbor, MI",Protective Service,146.0
"Niles-Benton Harbor, MI",Healthcare Support,161.0
"Niles-Benton Harbor, MI",Building and Grounds Cleaning and Maintenance,180.0
"Niles-Benton Harbor, MI",Computer and Mathematical,78.0
"Niles-Benton Harbor, MI",Personal Care and Service,159.0
"Niles-Benton Harbor, MI","Installation, Maintenance, and Repair",253.0
"Niles-Benton Harbor, MI",Construction and Extraction,144.0
"Niles-Benton Harbor, MI",Management,283.0
"Niles-Benton Harbor, MI",Business and Financial Operations,270.0
"Niles-Benton Harbor, MI",Production,804.0
"Niles-Benton Harbor, MI",Healthcare Practitioners and Technical,334.0
"Niles-Benton Harbor, MI","Education, Training, and Library",295.0
"Niles-Benton Harbor, MI",Transportation and Material Moving,294.0
"Niles-Benton Harbor, MI",Food Preparation and Serving Related,704.0
"Niles-Benton Harbor, MI",Sales and Related,600.0
"Niles-Benton Harbor, MI",Office and Administrative Support,964.0
"Muskegon, MI",Legal,18.0
"Muskegon, MI","Life, Physical, and Social Science",18.0
"Muskegon, MI","Arts, Design, Entertainment, Sports, and Media",40.0
"Muskegon, MI",Community and Social Service,100.0
"Muskegon, MI",Architecture and Engineering,140.0
"Muskegon, MI",Protective Service,123.0
"Muskegon, MI",Healthcare Support,236.0
"Muskegon, MI",Building and Grounds Cleaning and Maintenance,156.0
"Muskegon, MI",Computer and Mathematical,39.0
"Muskegon, MI",Personal Care and Service,162.0
"Muskegon, MI","Installation, Maintenance, and Repair",246.0
"Muskegon, MI",Construction and Extraction,185.0
"Muskegon, MI",Management,220.0
"Muskegon, MI",Business and Financial Operations,149.0
"Muskegon, MI",Production,921.0
"Muskegon, MI",Healthcare Practitioners and Technical,418.0
"Muskegon, MI","Education, Training, and Library",327.0
"Muskegon, MI",Transportation and Material Moving,302.0
"Muskegon, MI",Food Preparation and Serving Related,643.0
"Muskegon, MI",Sales and Related,874.0
"Muskegon, MI",Office and Administrative Support,813.0
"Morgantown, WV",Legal,52.0
"Morgantown, WV","Life, Physical, and Social Science",82.0
"Morgantown, WV","Arts, Design, Entertainment, Sports, and Media",59.0
"Morgantown, WV",Community and Social Service,87.0
"Morgantown, WV",Architecture and Engineering,98.0
"Morgantown, WV",Protective Service,151.0
"Morgantown, WV",Healthcare Support,0.0
"Morgantown, WV",Building and Grounds Cleaning and Maintenance,210.0
"Morgantown, WV",Computer and Mathematical,134.0
"Morgantown, WV",Personal Care and Service,151.0
"Morgantown, WV","Installation, Maintenance, and Repair",341.0
"Morgantown, WV",Construction and Extraction,263.0
"Morgantown, WV",Management,310.0
"Morgantown, WV",Business and Financial Operations,206.0
"Morgantown, WV",Production,325.0
"Morgantown, WV",Healthcare Practitioners and Technical,697.0
"Morgantown, WV","Education, Training, and Library",545.0
"Morgantown, WV",Transportation and Material Moving,361.0
"Morgantown, WV",Food Preparation and Serving Related,673.0
"Morgantown, WV",Sales and Related,534.0
"Morgantown, WV",Office and Administrative Support,870.0
"Idaho Falls, ID",Legal,27.0
"Idaho Falls, ID","Life, Physical, and Social Science",172.0
"Idaho Falls, ID","Arts, Design, Entertainment, Sports, and Media",83.0
"Idaho Falls, ID",Community and Social Service,107.0
"Idaho Falls, ID",Architecture and Engineering,192.0
"Idaho Falls, ID",Protective Service,145.0
"Idaho Falls, ID",Healthcare Support,194.0
"Idaho Falls, ID",Building and Grounds Cleaning and Maintenance,177.0
"Idaho Falls, ID",Computer and Mathematical,111.0
"Idaho Falls, ID",Personal Care and Service,203.0
"Idaho Falls, ID","Installation, Maintenance, and Repair",251.0
"Idaho Falls, ID",Construction and Extraction,417.0
"Idaho Falls, ID",Management,390.0
"Idaho Falls, ID",Business and Financial Operations,231.0
"Idaho Falls, ID",Production,355.0
"Idaho Falls, ID",Healthcare Practitioners and Technical,325.0
"Idaho Falls, ID","Education, Training, and Library",328.0
"Idaho Falls, ID",Transportation and Material Moving,400.0
"Idaho Falls, ID",Food Preparation and Serving Related,515.0
"Idaho Falls, ID",Sales and Related,695.0
"Idaho Falls, ID",Office and Administrative Support,837.0
"Santa Fe, NM",Legal,82.0
"Santa Fe, NM","Life, Physical, and Social Science",77.0
"Santa Fe, NM","Arts, Design, Entertainment, Sports, and Media",108.0
"Santa Fe, NM",Community and Social Service,126.0
"Santa Fe, NM",Architecture and Engineering,77.0
"Santa Fe, NM",Protective Service,221.0
"Santa Fe, NM",Healthcare Support,155.0
"Santa Fe, NM",Building and Grounds Cleaning and Maintenance,230.0
"Santa Fe, NM",Computer and Mathematical,129.0
"Santa Fe, NM",Personal Care and Service,321.0
"Santa Fe, NM","Installation, Maintenance, and Repair",184.0
"Santa Fe, NM",Construction and Extraction,252.0
"Santa Fe, NM",Management,388.0
"Santa Fe, NM",Business and Financial Operations,396.0
"Santa Fe, NM",Production,129.0
"Santa Fe, NM",Healthcare Practitioners and Technical,300.0
"Santa Fe, NM","Education, Training, and Library",340.0
"Santa Fe, NM",Transportation and Material Moving,227.0
"Santa Fe, NM",Food Preparation and Serving Related,756.0
"Santa Fe, NM",Sales and Related,724.0
"Santa Fe, NM",Office and Administrative Support,945.0
"Wheeling, WV-OH",Legal,54.0
"Wheeling, WV-OH","Life, Physical, and Social Science",23.0
"Wheeling, WV-OH","Arts, Design, Entertainment, Sports, and Media",49.0
"Wheeling, WV-OH",Community and Social Service,109.0
"Wheeling, WV-OH",Architecture and Engineering,47.0
"Wheeling, WV-OH",Protective Service,192.0
"Wheeling, WV-OH",Healthcare Support,243.0
"Wheeling, WV-OH",Building and Grounds Cleaning and Maintenance,214.0
"Wheeling, WV-OH",Computer and Mathematical,73.0
"Wheeling, WV-OH",Personal Care and Service,209.0
"Wheeling, WV-OH","Installation, Maintenance, and Repair",306.0
"Wheeling, WV-OH",Construction and Extraction,450.0
"Wheeling, WV-OH",Management,228.0
"Wheeling, WV-OH",Business and Financial Operations,181.0
"Wheeling, WV-OH",Production,229.0
"Wheeling, WV-OH",Healthcare Practitioners and Technical,508.0
"Wheeling, WV-OH","Education, Training, and Library",334.0
"Wheeling, WV-OH",Transportation and Material Moving,439.0
"Wheeling, WV-OH",Food Preparation and Serving Related,659.0
"Wheeling, WV-OH",Sales and Related,671.0
"Wheeling, WV-OH",Office and Administrative Support,1044.0
"Dover, DE",Legal,49.0
"Dover, DE","Life, Physical, and Social Science",0.0
"Dover, DE","Arts, Design, Entertainment, Sports, and Media",54.0
"Dover, DE",Community and Social Service,125.0
"Dover, DE",Architecture and Engineering,76.0
"Dover, DE",Protective Service,211.0
"Dover, DE",Healthcare Support,213.0
"Dover, DE",Building and Grounds Cleaning and Maintenance,201.0
"Dover, DE",Computer and Mathematical,93.0
"Dover, DE",Personal Care and Service,258.0
"Dover, DE","Installation, Maintenance, and Repair",253.0
"Dover, DE",Construction and Extraction,196.0
"Dover, DE",Management,223.0
"Dover, DE",Business and Financial Operations,267.0
"Dover, DE",Production,345.0
"Dover, DE",Healthcare Practitioners and Technical,398.0
"Dover, DE","Education, Training, and Library",478.0
"Dover, DE",Transportation and Material Moving,498.0
"Dover, DE",Food Preparation and Serving Related,675.0
"Dover, DE",Sales and Related,667.0
"Dover, DE",Office and Administrative Support,996.0
"New Bedford, MA",Legal,26.0
"New Bedford, MA","Life, Physical, and Social Science",39.0
"New Bedford, MA","Arts, Design, Entertainment, Sports, and Media",48.0
"New Bedford, MA",Community and Social Service,293.0
"New Bedford, MA",Architecture and Engineering,57.0
"New Bedford, MA",Protective Service,133.0
"New Bedford, MA",Healthcare Support,246.0
"New Bedford, MA",Building and Grounds Cleaning and Maintenance,154.0
"New Bedford, MA",Computer and Mathematical,56.0
"New Bedford, MA",Personal Care and Service,254.0
"New Bedford, MA","Installation, Maintenance, and Repair",210.0
"New Bedford, MA",Construction and Extraction,253.0
"New Bedford, MA",Management,303.0
"New Bedford, MA",Business and Financial Operations,165.0
"New Bedford, MA",Production,642.0
"New Bedford, MA",Healthcare Practitioners and Technical,484.0
"New Bedford, MA","Education, Training, and Library",447.0
"New Bedford, MA",Transportation and Material Moving,416.0
"New Bedford, MA",Food Preparation and Serving Related,641.0
"New Bedford, MA",Sales and Related,659.0
"New Bedford, MA",Office and Administrative Support,837.0
"Jackson, TN",Legal,27.0
"Jackson, TN","Life, Physical, and Social Science",25.0
"Jackson, TN","Arts, Design, Entertainment, Sports, and Media",29.0
"Jackson, TN",Community and Social Service,105.0
"Jackson, TN",Architecture and Engineering,165.0
"Jackson, TN",Protective Service,97.0
"Jackson, TN",Healthcare Support,240.0
"Jackson, TN",Building and Grounds Cleaning and Maintenance,141.0
"Jackson, TN",Computer and Mathematical,44.0
"Jackson, TN",Personal Care and Service,217.0
"Jackson, TN","Installation, Maintenance, and Repair",311.0
"Jackson, TN",Construction and Extraction,195.0
"Jackson, TN",Management,302.0
"Jackson, TN",Business and Financial Operations,151.0
"Jackson, TN",Production,790.0
"Jackson, TN",Healthcare Practitioners and Technical,597.0
"Jackson, TN","Education, Training, and Library",344.0
"Jackson, TN",Transportation and Material Moving,498.0
"Jackson, TN",Food Preparation and Serving Related,523.0
"Jackson, TN",Sales and Related,610.0
"Jackson, TN",Office and Administrative Support,960.0
"Abilene, TX",Legal,32.0
"Abilene, TX","Life, Physical, and Social Science",38.0
"Abilene, TX","Arts, Design, Entertainment, Sports, and Media",83.0
"Abilene, TX",Community and Social Service,92.0
"Abilene, TX",Architecture and Engineering,71.0
"Abilene, TX",Protective Service,189.0
"Abilene, TX",Healthcare Support,315.0
"Abilene, TX",Building and Grounds Cleaning and Maintenance,188.0
"Abilene, TX",Computer and Mathematical,92.0
"Abilene, TX",Personal Care and Service,246.0
"Abilene, TX","Installation, Maintenance, and Repair",272.0
"Abilene, TX",Construction and Extraction,345.0
"Abilene, TX",Management,203.0
"Abilene, TX",Business and Financial Operations,223.0
"Abilene, TX",Production,239.0
"Abilene, TX",Healthcare Practitioners and Technical,504.0
"Abilene, TX","Education, Training, and Library",454.0
"Abilene, TX",Transportation and Material Moving,386.0
"Abilene, TX",Food Preparation and Serving Related,715.0
"Abilene, TX",Sales and Related,715.0
"Abilene, TX",Office and Administrative Support,977.0
"Bangor, ME",Legal,39.0
"Bangor, ME","Life, Physical, and Social Science",39.0
"Bangor, ME","Arts, Design, Entertainment, Sports, and Media",84.0
"Bangor, ME",Community and Social Service,176.0
"Bangor, ME",Architecture and Engineering,60.0
"Bangor, ME",Protective Service,143.0
"Bangor, ME",Healthcare Support,267.0
"Bangor, ME",Building and Grounds Cleaning and Maintenance,258.0
"Bangor, ME",Computer and Mathematical,109.0
"Bangor, ME",Personal Care and Service,293.0
"Bangor, ME","Installation, Maintenance, and Repair",277.0
"Bangor, ME",Construction and Extraction,258.0
"Bangor, ME",Management,330.0
"Bangor, ME",Business and Financial Operations,221.0
"Bangor, ME",Production,232.0
"Bangor, ME",Healthcare Practitioners and Technical,505.0
"Bangor, ME","Education, Training, and Library",470.0
"Bangor, ME",Transportation and Material Moving,372.0
"Bangor, ME",Food Preparation and Serving Related,616.0
"Bangor, ME",Sales and Related,679.0
"Bangor, ME",Office and Administrative Support,981.0
"Janesville-Beloit, WI",Legal,21.0
"Janesville-Beloit, WI","Life, Physical, and Social Science",29.0
"Janesville-Beloit, WI","Arts, Design, Entertainment, Sports, and Media",47.0
"Janesville-Beloit, WI",Community and Social Service,79.0
"Janesville-Beloit, WI",Architecture and Engineering,84.0
"Janesville-Beloit, WI",Protective Service,96.0
"Janesville-Beloit, WI",Healthcare Support,174.0
"Janesville-Beloit, WI",Building and Grounds Cleaning and Maintenance,171.0
"Janesville-Beloit, WI",Computer and Mathematical,109.0
"Janesville-Beloit, WI",Personal Care and Service,206.0
"Janesville-Beloit, WI","Installation, Maintenance, and Repair",293.0
"Janesville-Beloit, WI",Construction and Extraction,242.0
"Janesville-Beloit, WI",Management,282.0
"Janesville-Beloit, WI",Business and Financial Operations,220.0
"Janesville-Beloit, WI",Production,682.0
"Janesville-Beloit, WI",Healthcare Practitioners and Technical,405.0
"Janesville-Beloit, WI","Education, Training, and Library",448.0
"Janesville-Beloit, WI",Transportation and Material Moving,627.0
"Janesville-Beloit, WI",Food Preparation and Serving Related,611.0
"Janesville-Beloit, WI",Sales and Related,716.0
"Janesville-Beloit, WI",Office and Administrative Support,934.0
"Rapid City, SD",Legal,34.0
"Rapid City, SD","Life, Physical, and Social Science",76.0
"Rapid City, SD","Arts, Design, Entertainment, Sports, and Media",95.0
"Rapid City, SD",Community and Social Service,122.0
"Rapid City, SD",Architecture and Engineering,83.0
"Rapid City, SD",Protective Service,129.0
"Rapid City, SD",Healthcare Support,160.0
"Rapid City, SD",Building and Grounds Cleaning and Maintenance,312.0
"Rapid City, SD",Computer and Mathematical,94.0
"Rapid City, SD",Personal Care and Service,214.0
"Rapid City, SD","Installation, Maintenance, and Repair",290.0
"Rapid City, SD",Construction and Extraction,433.0
"Rapid City, SD",Management,175.0
"Rapid City, SD",Business and Financial Operations,255.0
"Rapid City, SD",Production,256.0
"Rapid City, SD",Healthcare Practitioners and Technical,509.0
"Rapid City, SD","Education, Training, and Library",334.0
"Rapid City, SD",Transportation and Material Moving,351.0
"Rapid City, SD",Food Preparation and Serving Related,743.0
"Rapid City, SD",Sales and Related,821.0
"Rapid City, SD",Office and Administrative Support,1036.0
"Terre Haute, IN",Legal,36.0
"Terre Haute, IN","Life, Physical, and Social Science",33.0
"Terre Haute, IN","Arts, Design, Entertainment, Sports, and Media",60.0
"Terre Haute, IN",Community and Social Service,77.0
"Terre Haute, IN",Architecture and Engineering,78.0
"Terre Haute, IN",Protective Service,204.0
"Terre Haute, IN",Healthcare Support,172.0
"Terre Haute, IN",Building and Grounds Cleaning and Maintenance,187.0
"Terre Haute, IN",Computer and Mathematical,53.0
"Terre Haute, IN",Personal Care and Service,177.0
"Terre Haute, IN","Installation, Maintenance, and Repair",306.0
"Terre Haute, IN",Construction and Extraction,261.0
"Terre Haute, IN",Management,320.0
"Terre Haute, IN",Business and Financial Operations,180.0
"Terre Haute, IN",Production,830.0
"Terre Haute, IN",Healthcare Practitioners and Technical,467.0
"Terre Haute, IN","Education, Training, and Library",408.0
"Terre Haute, IN",Transportation and Material Moving,398.0
"Terre Haute, IN",Food Preparation and Serving Related,764.0
"Terre Haute, IN",Sales and Related,666.0
"Terre Haute, IN",Office and Administrative Support,937.0
"Bloomington, IN",Legal,42.0
"Bloomington, IN","Life, Physical, and Social Science",194.0
"Bloomington, IN","Arts, Design, Entertainment, Sports, and Media",97.0
"Bloomington, IN",Community and Social Service,102.0
"Bloomington, IN",Architecture and Engineering,127.0
"Bloomington, IN",Protective Service,125.0
"Bloomington, IN",Healthcare Support,191.0
"Bloomington, IN",Building and Grounds Cleaning and Maintenance,191.0
"Bloomington, IN",Computer and Mathematical,169.0
"Bloomington, IN",Personal Care and Service,216.0
"Bloomington, IN","Installation, Maintenance, and Repair",245.0
"Bloomington, IN",Construction and Extraction,185.0
"Bloomington, IN",Management,330.0
"Bloomington, IN",Business and Financial Operations,244.0
"Bloomington, IN",Production,486.0
"Bloomington, IN",Healthcare Practitioners and Technical,391.0
"Bloomington, IN","Education, Training, and Library",685.0
"Bloomington, IN",Transportation and Material Moving,353.0
"Bloomington, IN",Food Preparation and Serving Related,798.0
"Bloomington, IN",Sales and Related,655.0
"Bloomington, IN",Office and Administrative Support,912.0
"Odessa, TX",Legal,26.0
"Odessa, TX","Life, Physical, and Social Science",30.0
"Odessa, TX","Arts, Design, Entertainment, Sports, and Media",54.0
"Odessa, TX",Community and Social Service,51.0
"Odessa, TX",Architecture and Engineering,89.0
"Odessa, TX",Protective Service,84.0
"Odessa, TX",Healthcare Support,119.0
"Odessa, TX",Building and Grounds Cleaning and Maintenance,141.0
"Odessa, TX",Computer and Mathematical,41.0
"Odessa, TX",Personal Care and Service,140.0
"Odessa, TX","Installation, Maintenance, and Repair",438.0
"Odessa, TX",Construction and Extraction,827.0
"Odessa, TX",Management,231.0
"Odessa, TX",Business and Financial Operations,167.0
"Odessa, TX",Production,522.0
"Odessa, TX",Healthcare Practitioners and Technical,318.0
"Odessa, TX","Education, Training, and Library",357.0
"Odessa, TX",Transportation and Material Moving,633.0
"Odessa, TX",Food Preparation and Serving Related,729.0
"Odessa, TX",Sales and Related,782.0
"Odessa, TX",Office and Administrative Support,1013.0
"Napa, CA",Legal,33.0
"Napa, CA","Life, Physical, and Social Science",66.0
"Napa, CA","Arts, Design, Entertainment, Sports, and Media",46.0
"Napa, CA",Community and Social Service,103.0
"Napa, CA",Architecture and Engineering,49.0
"Napa, CA",Protective Service,116.0
"Napa, CA",Healthcare Support,186.0
"Napa, CA",Building and Grounds Cleaning and Maintenance,425.0
"Napa, CA",Computer and Mathematical,51.0
"Napa, CA",Personal Care and Service,204.0
"Napa, CA","Installation, Maintenance, and Repair",209.0
"Napa, CA",Construction and Extraction,351.0
"Napa, CA",Management,411.0
"Napa, CA",Business and Financial Operations,285.0
"Napa, CA",Production,421.0
"Napa, CA",Healthcare Practitioners and Technical,418.0
"Napa, CA","Education, Training, and Library",381.0
"Napa, CA",Transportation and Material Moving,392.0
"Napa, CA",Food Preparation and Serving Related,932.0
"Napa, CA",Sales and Related,811.0
"Napa, CA",Office and Administrative Support,910.0
"State College, PA",Legal,27.0
"State College, PA","Life, Physical, and Social Science",57.0
"State College, PA","Arts, Design, Entertainment, Sports, and Media",72.0
"State College, PA",Community and Social Service,108.0
"State College, PA",Architecture and Engineering,162.0
"State College, PA",Protective Service,147.0
"State College, PA",Healthcare Support,131.0
"State College, PA",Building and Grounds Cleaning and Maintenance,223.0
"State College, PA",Computer and Mathematical,258.0
"State College, PA",Personal Care and Service,215.0
"State College, PA","Installation, Maintenance, and Repair",322.0
"State College, PA",Construction and Extraction,288.0
"State College, PA",Management,287.0
"State College, PA",Business and Financial Operations,289.0
"State College, PA",Production,280.0
"State College, PA",Healthcare Practitioners and Technical,381.0
"State College, PA","Education, Training, and Library",686.0
"State College, PA",Transportation and Material Moving,333.0
"State College, PA",Food Preparation and Serving Related,690.0
"State College, PA",Sales and Related,644.0
"State College, PA",Office and Administrative Support,1220.0
"Dalton, GA",Legal,18.0
"Dalton, GA","Life, Physical, and Social Science",18.0
"Dalton, GA","Arts, Design, Entertainment, Sports, and Media",25.0
"Dalton, GA",Community and Social Service,55.0
"Dalton, GA",Architecture and Engineering,63.0
"Dalton, GA",Protective Service,81.0
"Dalton, GA",Healthcare Support,123.0
"Dalton, GA",Building and Grounds Cleaning and Maintenance,85.0
"Dalton, GA",Computer and Mathematical,100.0
"Dalton, GA",Personal Care and Service,93.0
"Dalton, GA","Installation, Maintenance, and Repair",419.0
"Dalton, GA",Construction and Extraction,117.0
"Dalton, GA",Management,273.0
"Dalton, GA",Business and Financial Operations,179.0
"Dalton, GA",Production,1727.0
"Dalton, GA",Healthcare Practitioners and Technical,282.0
"Dalton, GA","Education, Training, and Library",279.0
"Dalton, GA",Transportation and Material Moving,911.0
"Dalton, GA",Food Preparation and Serving Related,357.0
"Dalton, GA",Sales and Related,738.0
"Dalton, GA",Office and Administrative Support,885.0
"Waterbury, CT",Legal,50.0
"Waterbury, CT","Life, Physical, and Social Science",19.0
"Waterbury, CT","Arts, Design, Entertainment, Sports, and Media",56.0
"Waterbury, CT",Community and Social Service,210.0
"Waterbury, CT",Architecture and Engineering,50.0
"Waterbury, CT",Protective Service,130.0
"Waterbury, CT",Healthcare Support,275.0
"Waterbury, CT",Building and Grounds Cleaning and Maintenance,175.0
"Waterbury, CT",Computer and Mathematical,59.0
"Waterbury, CT",Personal Care and Service,286.0
"Waterbury, CT","Installation, Maintenance, and Repair",235.0
"Waterbury, CT",Construction and Extraction,227.0
"Waterbury, CT",Management,370.0
"Waterbury, CT",Business and Financial Operations,195.0
"Waterbury, CT",Production,603.0
"Waterbury, CT",Healthcare Practitioners and Technical,491.0
"Waterbury, CT","Education, Training, and Library",669.0
"Waterbury, CT",Transportation and Material Moving,418.0
"Waterbury, CT",Food Preparation and Serving Related,594.0
"Waterbury, CT",Sales and Related,691.0
"Waterbury, CT",Office and Administrative Support,1025.0
"Warner Robins, GA",Legal,16.0
"Warner Robins, GA","Life, Physical, and Social Science",24.0
"Warner Robins, GA","Arts, Design, Entertainment, Sports, and Media",47.0
"Warner Robins, GA",Community and Social Service,57.0
"Warner Robins, GA",Architecture and Engineering,282.0
"Warner Robins, GA",Protective Service,141.0
"Warner Robins, GA",Healthcare Support,168.0
"Warner Robins, GA",Building and Grounds Cleaning and Maintenance,185.0
"Warner Robins, GA",Computer and Mathematical,160.0
"Warner Robins, GA",Personal Care and Service,124.0
"Warner Robins, GA","Installation, Maintenance, and Repair",499.0
"Warner Robins, GA",Construction and Extraction,294.0
"Warner Robins, GA",Management,249.0
"Warner Robins, GA",Business and Financial Operations,643.0
"Warner Robins, GA",Production,545.0
"Warner Robins, GA",Healthcare Practitioners and Technical,349.0
"Warner Robins, GA","Education, Training, and Library",524.0
"Warner Robins, GA",Transportation and Material Moving,445.0
"Warner Robins, GA",Food Preparation and Serving Related,693.0
"Warner Robins, GA",Sales and Related,583.0
"Warner Robins, GA",Office and Administrative Support,842.0
"Las Cruces, NM",Legal,30.0
"Las Cruces, NM","Life, Physical, and Social Science",79.0
"Las Cruces, NM","Arts, Design, Entertainment, Sports, and Media",54.0
"Las Cruces, NM",Community and Social Service,120.0
"Las Cruces, NM",Architecture and Engineering,198.0
"Las Cruces, NM",Protective Service,284.0
"Las Cruces, NM",Healthcare Support,283.0
"Las Cruces, NM",Building and Grounds Cleaning and Maintenance,213.0
"Las Cruces, NM",Computer and Mathematical,182.0
"Las Cruces, NM",Personal Care and Service,431.0
"Las Cruces, NM","Installation, Maintenance, and Repair",237.0
"Las Cruces, NM",Construction and Extraction,332.0
"Las Cruces, NM",Management,299.0
"Las Cruces, NM",Business and Financial Operations,287.0
"Las Cruces, NM",Production,213.0
"Las Cruces, NM",Healthcare Practitioners and Technical,388.0
"Las Cruces, NM","Education, Training, and Library",597.0
"Las Cruces, NM",Transportation and Material Moving,244.0
"Las Cruces, NM",Food Preparation and Serving Related,730.0
"Las Cruces, NM",Sales and Related,600.0
"Las Cruces, NM",Office and Administrative Support,1093.0
"Blacksburg-Christiansburg-Radford, VA",Legal,23.0
"Blacksburg-Christiansburg-Radford, VA","Life, Physical, and Social Science",100.0
"Blacksburg-Christiansburg-Radford, VA","Arts, Design, Entertainment, Sports, and Media",76.0
"Blacksburg-Christiansburg-Radford, VA",Community and Social Service,129.0
"Blacksburg-Christiansburg-Radford, VA",Architecture and Engineering,115.0
"Blacksburg-Christiansburg-Radford, VA",Protective Service,149.0
"Blacksburg-Christiansburg-Radford, VA",Healthcare Support,126.0
"Blacksburg-Christiansburg-Radford, VA",Building and Grounds Cleaning and Maintenance,205.0
"Blacksburg-Christiansburg-Radford, VA",Computer and Mathematical,146.0
"Blacksburg-Christiansburg-Radford, VA",Personal Care and Service,204.0
